com.anysoftkeyboard.languagepack.belarusian	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.brazilian	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.bribri	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.bulgarian	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.catalan	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.coptic	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.croatian	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.danish	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.dutch_oss	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.esperanto	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.french	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.georgian	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.german	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.greek	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.hackerkeyboardlayout	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.hawaiian	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.hebrew	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.hindi	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.hungarian_oss	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.icelandic	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.indonesian	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.italian	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.kachin	AnySoftKeyboard/AnySoftKeyboard
